image_name,label
digit_image0.png,0
digit_image1.png,1
digit_image2.png,2
digit_image3.png,3
digit_image4.png,4
digit_image5.png,5
digit_image6.png,6
digit_image7.png,7
digit_image8.png,8
digit_image9.png,9
digit_image10.png,0
digit_image11.png,1
digit_image12.png,2
digit_image13.png,3
digit_image14.png,4
digit_image15.png,5
digit_image16.png,6
digit_image17.png,7
digit_image18.png,8
digit_image19.png,9
digit_image20.png,0
digit_image21.png,1
digit_image22.png,2
digit_image23.png,3
digit_image24.png,4
digit_image25.png,5
digit_image26.png,6
digit_image27.png,7
digit_image28.png,8
digit_image29.png,9
digit_image30.png,0
digit_image31.png,1
digit_image32.png,2
digit_image33.png,3
digit_image34.png,4
digit_image35.png,5
digit_image36.png,6
digit_image37.png,7
digit_image38.png,8
digit_image39.png,9
digit_image40.png,0
digit_image41.png,1
digit_image42.png,2
digit_image43.png,3
digit_image44.png,4
digit_image45.png,5
digit_image46.png,6
digit_image47.png,7
digit_image48.png,8
digit_image49.png,9
digit_image50.png,0
digit_image51.png,1
digit_image52.png,2
digit_image53.png,3
digit_image54.png,4
digit_image55.png,5
digit_image56.png,6
digit_image57.png,7
digit_image58.png,8
digit_image59.png,9
digit_image60.png,0
digit_image61.png,1
digit_image62.png,2
digit_image63.png,3
digit_image64.png,4
digit_image65.png,5
digit_image66.png,6
digit_image67.png,7
digit_image68.png,8
digit_image69.png,9
digit_image70.png,0
digit_image71.png,1
digit_image72.png,2
digit_image73.png,3
digit_image74.png,4
digit_image75.png,5
digit_image76.png,6
digit_image77.png,7
digit_image78.png,8
digit_image79.png,9
digit_image80.png,0
digit_image81.png,1
digit_image82.png,2
digit_image83.png,3
digit_image84.png,4
digit_image85.png,5
digit_image86.png,6
digit_image87.png,7
digit_image88.png,8
digit_image89.png,9
digit_image90.png,0
digit_image91.png,1
digit_image92.png,2
digit_image93.png,3
digit_image94.png,4
digit_image95.png,5
digit_image96.png,6
digit_image97.png,7
digit_image98.png,8
digit_image99.png,9
digit_image100.png,0
digit_image101.png,1
digit_image102.png,2
digit_image103.png,3
digit_image104.png,4
digit_image105.png,5
digit_image106.png,6
digit_image107.png,7
digit_image108.png,8
digit_image109.png,9
digit_image110.png,0
digit_image111.png,1
digit_image112.png,2
digit_image113.png,3
digit_image114.png,4
digit_image115.png,5
digit_image116.png,6
digit_image117.png,7
digit_image118.png,8
digit_image119.png,9
digit_image120.png,0
digit_image121.png,1
digit_image122.png,2
digit_image123.png,3
digit_image124.png,4
digit_image125.png,5
digit_image126.png,6
digit_image127.png,7
digit_image128.png,8
digit_image129.png,9
digit_image130.png,0
digit_image131.png,1
digit_image132.png,2
digit_image133.png,3
digit_image134.png,4
digit_image135.png,5
digit_image136.png,6
digit_image137.png,7
digit_image138.png,8
digit_image139.png,9
digit_image140.png,0
digit_image141.png,1
digit_image142.png,2
digit_image143.png,3
digit_image144.png,4
digit_image145.png,5
digit_image146.png,6
digit_image147.png,7
digit_image148.png,8
digit_image149.png,9
digit_image150.png,0
digit_image151.png,1
digit_image152.png,2
digit_image153.png,3
digit_image154.png,4
digit_image155.png,5
digit_image156.png,6
digit_image157.png,7
digit_image158.png,8
digit_image159.png,9
digit_image160.png,0
digit_image161.png,1
digit_image162.png,2
digit_image163.png,3
digit_image164.png,4
digit_image165.png,5
digit_image166.png,6
digit_image167.png,7
digit_image168.png,8
digit_image169.png,9
digit_image170.png,0
digit_image171.png,1
digit_image172.png,2
digit_image173.png,3
digit_image174.png,4
digit_image175.png,5
digit_image176.png,6
digit_image177.png,7
digit_image178.png,8
digit_image179.png,9
digit_image180.png,0
digit_image181.png,1
digit_image182.png,2
digit_image183.png,3
digit_image184.png,4
digit_image185.png,5
digit_image186.png,6
digit_image187.png,7
digit_image188.png,8
digit_image189.png,9
digit_image190.png,0
digit_image191.png,1
digit_image192.png,2
digit_image193.png,3
digit_image194.png,4
digit_image195.png,5
digit_image196.png,6
digit_image197.png,7
digit_image198.png,8
digit_image199.png,9
digit_image200.png,0
digit_image201.png,1
digit_image202.png,2
digit_image203.png,3
digit_image204.png,4
digit_image205.png,5
digit_image206.png,6
digit_image207.png,7
digit_image208.png,8
digit_image209.png,9
digit_image210.png,0
digit_image211.png,1
digit_image212.png,2
digit_image213.png,3
digit_image214.png,4
digit_image215.png,5
digit_image216.png,6
digit_image217.png,7
digit_image218.png,8
digit_image219.png,9
digit_image220.png,0
digit_image221.png,1
digit_image222.png,2
digit_image223.png,3
digit_image224.png,4
digit_image225.png,5
digit_image226.png,6
digit_image227.png,7
digit_image228.png,8
digit_image229.png,9
digit_image230.png,0
digit_image231.png,1
digit_image232.png,2
digit_image233.png,3
digit_image234.png,4
digit_image235.png,5
digit_image236.png,6
digit_image237.png,7
digit_image238.png,8
digit_image239.png,9
digit_image240.png,0
digit_image241.png,1
digit_image242.png,2
digit_image243.png,3
digit_image244.png,4
digit_image245.png,5
digit_image246.png,6
digit_image247.png,7
digit_image248.png,8
digit_image249.png,9
digit_image250.png,0
digit_image251.png,1
digit_image252.png,2
digit_image253.png,3
digit_image254.png,4
digit_image255.png,5
digit_image256.png,6
digit_image257.png,7
digit_image258.png,8
digit_image259.png,9
digit_image260.png,0
digit_image261.png,1
digit_image262.png,2
digit_image263.png,3
digit_image264.png,4
digit_image265.png,5
digit_image266.png,6
digit_image267.png,7
digit_image268.png,8
digit_image269.png,9
digit_image270.png,0
digit_image271.png,1
digit_image272.png,2
digit_image273.png,3
digit_image274.png,4
digit_image275.png,5
digit_image276.png,6
digit_image277.png,7
digit_image278.png,8
digit_image279.png,9
digit_image280.png,0
digit_image281.png,1
digit_image282.png,2
digit_image283.png,3
digit_image284.png,4
digit_image285.png,5
digit_image286.png,6
digit_image287.png,7
digit_image288.png,8
digit_image289.png,9
digit_image290.png,0
digit_image291.png,1
digit_image292.png,2
digit_image293.png,3
digit_image294.png,4
digit_image295.png,5
digit_image296.png,6
digit_image297.png,7
digit_image298.png,8
digit_image299.png,9
digit_image300.png,0
digit_image301.png,1
digit_image302.png,2
digit_image303.png,3
digit_image304.png,4
digit_image305.png,5
digit_image306.png,6
digit_image307.png,7
digit_image308.png,8
digit_image309.png,9
digit_image310.png,0
digit_image311.png,1
digit_image312.png,2
digit_image313.png,3
digit_image314.png,4
digit_image315.png,5
digit_image316.png,6
digit_image317.png,7
digit_image318.png,8
digit_image319.png,9
digit_image320.png,0
digit_image321.png,1
digit_image322.png,2
digit_image323.png,3
digit_image324.png,4
digit_image325.png,5
digit_image326.png,6
digit_image327.png,7
digit_image328.png,8
digit_image329.png,9
digit_image330.png,0
digit_image331.png,1
digit_image332.png,2
digit_image333.png,3
digit_image334.png,4
digit_image335.png,5
